考点,province_exam,language_file,registered,present,absent,avg_score,passed,absent_rate,pass_rate_by_present
三明市第二中学,福建省,C++,30,30,0,71.55,21,0.0,0.7
三明市第二中学,福建省,Python,1,1,0,32.0,0,0.0,0.0
三明市第二中学,福建省,Scratch,44,44,0,58.38636363636363,26,0.0,0.5909090909090909
三河市汇福实验学校,北京市,C++,14,13,1,52.0,5,0.07142857142857142,0.38461538461538464
三河市汇福实验学校,天津市,C++,1,1,0,57.5,0,0.0,0.0
三河市汇福实验学校,河北省,C++,46,43,3,52.70454545454545,18,0.06521739130434782,0.4186046511627907
三河市汇福实验学校,河北省,Python,1,1,0,61.5,1,0.0,1.0
三河市汇福实验学校,河北省,Scratch,6,6,0,66.83333333333333,5,0.0,0.8333333333333334
三河市燕郊金子塔学校,北京市,C++,13,12,1,59.69230769230769,6,0.07692307692307693,0.5
三河市燕郊金子塔学校,北京市,Scratch,1,1,0,72.0,1,0.0,1.0
三河市燕郊金子塔学校,天津市,C++,1,1,0,42.5,0,0.0,0.0
三河市燕郊金子塔学校,河北省,C++,103,100,3,61.259803921568626,56,0.02912621359223301,0.56
三河市第二实验小学,北京市,C++,3,3,0,49.666666666666664,1,0.0,0.3333333333333333
三河市第二实验小学,天津市,C++,1,1,0,52.5,0,0.0,0.0
三河市第二实验小学,河北省,C++,29,29,0,52.93103448275862,10,0.0,0.3448275862068966
三河市第二实验小学,河北省,Python,1,1,0,84.0,1,0.0,1.0
三河市第二实验小学,河北省,Scratch,1,1,0,57.0,0,0.0,0.0
上海市七宝中学,上海市,C++,279,268,11,57.82437275985663,135,0.03942652329749104,0.503731343283582
上海市七宝中学,上海市,Python,4,4,0,60.875,2,0.0,0.5
上海市七宝中学,上海市,Scratch,22,22,0,65.77272727272727,13,0.0,0.5909090909090909
上海市娄山中学,上海市,C++,348,340,8,66.18950437317784,217,0.022988505747126436,0.638235294117647
上海市娄山中学,上海市,Python,5,5,0,71.1,4,0.0,0.8
上海市娄山中学,上海市,Scratch,6,6,0,52.5,3,0.0,0.5
上海市建平中学,上海市,C++,652,630,22,63.37984496124031,389,0.03374233128834356,0.6174603174603175
上海市建平中学,上海市,Python,11,11,0,58.13636363636363,6,0.0,0.5454545454545454
上海市建平中学,上海市,Scratch,40,39,1,65.15,27,0.025,0.6923076923076923
上海市建平中学,浙江省,C++,1,1,0,0.0,0,0.0,0.0
上海市张江集团中学,上海市,C++,699,655,44,64.25797101449275,430,0.06294706723891273,0.6564885496183206
上海市张江集团中学,上海市,Python,11,10,1,34.95454545454545,1,0.09090909090909091,0.1
上海市张江集团中学,上海市,Scratch,48,46,2,60.979166666666664,28,0.041666666666666664,0.6086956521739131
上海市行知中学,上海市,C++,656,634,22,62.43353941267388,367,0.03353658536585366,0.5788643533123028
上海市行知中学,上海市,Python,38,36,2,58.85526315789474,20,0.05263157894736842,0.5555555555555556
上海市行知中学,上海市,Scratch,71,70,1,64.98591549295774,46,0.014084507042253521,0.6571428571428571
上海市行知中学,江苏省,C++,1,1,0,88.0,1,0.0,1.0
上海市风华初级中学,上海市,C++,614,614,0,61.12459283387622,352,0.0,0.5732899022801303
上海市风华初级中学,上海市,Python,17,17,0,43.05882352941177,5,0.0,0.29411764705882354
上海市风华初级中学,上海市,Scratch,34,31,3,61.42424242424242,18,0.08823529411764706,0.5806451612903226
上海市风华初级中学,江苏省,C++,1,1,0,94.0,1,0.0,1.0
上海师范大学,上海市,C++,146,143,3,63.11188811188811,80,0.02054794520547945,0.5594405594405595
上海师范大学,上海市,Scratch,2,2,0,46.0,0,0.0,0.0
上海师范大学,江苏省,C++,1,1,0,67.5,1,0.0,1.0
上海民办华曜浦东实验学校,上海市,C++,474,452,22,60.362473347547976,257,0.046413502109704644,0.5685840707964602
上海民办华曜浦东实验学校,上海市,Python,18,16,2,55.611111111111114,9,0.1111111111111111,0.5625
上海民办华曜浦东实验学校,上海市,Scratch,33,31,2,64.21212121212122,22,0.06060606060606061,0.7096774193548387
上海民办华曜浦东实验学校,江苏省,C++,1,1,0,43.0,0,0.0,0.0
上海济光职业技术学院（杨浦）,上海市,C++,529,508,21,64.63435700575816,318,0.03969754253308128,0.6259842519685039
上海济光职业技术学院（杨浦）,上海市,Python,27,27,0,56.48148148148148,13,0.0,0.48148148148148145
上海济光职业技术学院（杨浦）,上海市,Scratch,14,14,0,60.642857142857146,8,0.0,0.5714285714285714
上海浦东新区远翔实验学校,上海市,C++,62,61,1,60.057377049180324,31,0.016129032258064516,0.5081967213114754
上海浦东新区远翔实验学校,上海市,Scratch,2,2,0,58.0,1,0.0,0.5
上海理工大学管理学院,上海市,C++,583,559,24,63.069298245614036,340,0.0411663807890223,0.6082289803220036
上海理工大学管理学院,上海市,Python,16,15,1,49.40625,5,0.0625,0.3333333333333333
上海理工大学管理学院,上海市,Scratch,22,21,1,60.27272727272727,15,0.045454545454545456,0.7142857142857143
上海理工大学管理学院,江苏省,C++,1,1,0,32.0,0,0.0,0.0
上海虹桥国际外籍人员子女学校,上海市,C++,437,404,33,59.958920187793424,219,0.07551487414187644,0.5420792079207921
上海虹桥国际外籍人员子女学校,上海市,Python,23,20,3,54.391304347826086,13,0.13043478260869565,0.65
上海虹桥国际外籍人员子女学校,上海市,Scratch,44,39,5,60.107142857142854,24,0.11363636363636363,0.6153846153846154
上海虹桥国际外籍人员子女学校,江苏省,C++,1,1,0,71.5,1,0.0,1.0
东北农业大学,黑龙江省,C++,100,97,3,61.94329896907217,52,0.03,0.5360824742268041
东北农业大学,黑龙江省,Python,1,1,0,92.0,1,0.0,1.0
东北农业大学,黑龙江省,Scratch,16,16,0,62.25,10,0.0,0.625
东北大学秦皇岛分校,天津市,Python,1,1,0,96.0,1,0.0,1.0
东北大学秦皇岛分校,天津市,Scratch,2,2,0,70.5,2,0.0,1.0
东北大学秦皇岛分校,河北省,C++,233,233,0,67.19742489270386,149,0.0,0.6394849785407726
东北大学秦皇岛分校,河北省,Python,14,14,0,62.75,9,0.0,0.6428571428571429
东北大学秦皇岛分校,河北省,Scratch,17,17,0,68.3529411764706,14,0.0,0.8235294117647058
东北大学秦皇岛分校,辽宁省,C++,7,6,1,67.35714285714286,6,0.14285714285714285,1.0
东莞市东莞中学松山湖学校,广东省,C++,998,960,38,60.21912955465587,534,0.03807615230460922,0.55625
东莞市东莞中学松山湖学校,广东省,Python,110,107,3,50.43577981651376,35,0.02727272727272727,0.32710280373831774
东莞市东莞中学松山湖学校,广东省,Scratch,41,40,1,67.575,26,0.024390243902439025,0.65
东莞市东莞中学松山湖学校,香港特别行政区,C++,3,3,0,62.5,2,0.0,0.6666666666666666
