language,level,n_registered,n_passed,pass_rate
Scratch,一级,14059,8864,0.6304858098015506
Scratch,二级,3492,1395,0.39948453608247425
Scratch,三级,808,195,0.24133663366336633
Scratch,四级,364,65,0.17857142857142858
Python,一级,6002,2269,0.3780406531156281
Python,二级,994,333,0.335010060362173
Python,三级,386,130,0.33678756476683935
Python,四级,191,51,0.2670157068062827
Python,五级,18,7,0.3888888888888889
Python,六级,3,2,0.6666666666666666
Python,七级,1,0,0.0
Python,八级,2,0,0.0
C++,一级,63768,40873,0.6409641199347635
C++,二级,24116,12063,0.5002073312323768
C++,三级,20504,9948,0.4851736246586032
C++,四级,16767,6710,0.40019085107651936
C++,五级,5178,3203,0.6185786017767477
C++,六级,3118,1774,0.5689544579858884
C++,七级,1665,990,0.5945945945945946
C++,八级,1160,882,0.7603448275862069
