province_exam,language_file,centers,registered,present,absent,avg_score,passed,absent_rate,avg_center_load,pass_rate_by_present
上海市,C++,39,7758,7432,326,62.723942006269596,4460,0.04202113946893529,198.92307692307693,0.6001076426264801
上海市,Python,16,300,280,20,53.17056856187291,134,0.06666666666666667,18.75,0.4785714285714286
上海市,Scratch,19,505,481,24,61.429,296,0.047524752475247525,26.57894736842105,0.6153846153846154
云南省,C++,5,1006,969,37,57.690140845070424,473,0.036779324055666,201.2,0.48813209494324045
云南省,Python,5,91,86,5,48.57142857142857,38,0.054945054945054944,18.2,0.4418604651162791
云南省,Scratch,5,246,234,12,57.971311475409834,125,0.04878048780487805,49.2,0.5341880341880342
内蒙古自治区,C++,22,277,268,9,53.72,125,0.032490974729241874,12.590909090909092,0.4664179104477612
内蒙古自治区,Python,10,61,58,3,41.791666666666664,11,0.04918032786885246,6.1,0.1896551724137931
内蒙古自治区,Scratch,9,41,37,4,51.25,13,0.0975609756097561,4.555555555555555,0.35135135135135137
北京市,C++,42,17864,17162,702,59.488774873859064,9380,0.03929690998656516,425.3333333333333,0.5465563454142873
北京市,Python,24,490,471,19,45.97540983606557,162,0.03877551020408163,20.416666666666668,0.34394904458598724
北京市,Scratch,27,1269,1205,64,57.09546539379475,652,0.0504334121355398,47.0,0.5410788381742738
吉林省,C++,4,896,869,27,60.910270880361175,491,0.030133928571428572,224.0,0.5650172612197929
吉林省,Python,4,44,42,2,31.875,5,0.045454545454545456,11.0,0.11904761904761904
吉林省,Scratch,4,130,126,4,62.03846153846154,75,0.03076923076923077,32.5,0.5952380952380952
四川省,C++,33,8850,8460,390,61.86867359762367,5021,0.04406779661016949,268.1818181818182,0.5934988179669031
四川省,Python,21,381,362,19,46.79840848806366,118,0.049868766404199474,18.142857142857142,0.3259668508287293
四川省,Scratch,25,1281,1231,50,59.22588235294118,711,0.039032006245121,51.24,0.5775792038992689
天津市,C++,25,2410,2369,41,63.2174728940784,1404,0.01701244813278008,96.4,0.5926551287463064
天津市,Python,9,298,285,13,55.788851351351354,137,0.0436241610738255,33.111111111111114,0.4807017543859649
天津市,Scratch,9,275,271,4,61.08,153,0.014545454545454545,30.555555555555557,0.5645756457564576
