ID,考试名称,考点,认证服务中心,高校省份,所在单位,编程语言,等级,总分,选择题,判断题,编程题1,编程题2,缺考,选择题选项,判断题选项
2025031200009,GESP 2023年9月认证,宁波城市职业技术学院（鄞州）,,浙江省,宁波市海曙中心小学,Python,二级,30,14,16,0,0,,BBCBDACADBBCDBD,FTTFFFFTTT
2025031200014,GESP 2023年9月认证,苏州工业园区景城学校,苏州西疆科技咨询有限公司,江苏省,青剑湖小学,Python,一级,75.5,28,20,22.5,5,,BDBCBACBBDBBABC,FFTTTFFTTF
2025031200016,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,苏州市平江实验学校,Python,一级,94,26,18,25,25,,CCBCBACBBDBBAAC,FFTTTFFTTT
2025031200024,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,星湾学校,Python,一级,90,26,14,25,25,,CDBCBACBBDBDABD,FFFTTTFTFF
2025031200034,GESP 2023年9月认证,上海市建平中学,,上海市,明珠小学A区,Python,二级,69,24,20,25,0,,BBCBDCDADABBDBC,FFTTFFFTTT
2025031200062,GESP 2023年9月认证,上海市行知中学,,上海市,上海市宝山区南大实验学校,Python,一级,38,24,14,0,0,,CDCCBACBBCBBABA,FFFFTFFTFF
2025031200085,GESP 2023年9月认证,南京外国语学校（北京东路校区）,,江苏省,南京市第五十中学,Python,一级,98,30,18,25,25,,CDBCBACBBDBBABC,FFTTTTFTTF
2025031200099,GESP 2023年9月认证,北京工业大学,,北京市,陈经纶中学,Python,三级,20,8,12,0,0,,DBCCDADCADACADB,FTTFFTFFTT
2025031200123,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,平江实验学校,Python,一级,0,0,0,0,0,是,,
2025031200133,GESP 2023年9月认证,镇江大港中学,,江苏省,三元桥实验小学,Python,一级,92,22,20,25,25,,CDBCBACCBBBDABA,FFTTTFFTTF
2025031200142,GESP 2023年9月认证,北京工业大学,,北京市,北京市育民小学,Python,五级,38,14,14,5,5,,DADCDBBADCBDBAC,FFTTTFFFFF
2025031200165,GESP 2023年9月认证,北京工业大学,,北京市,北京第一师范学校附属小学,Python,二级,90,24,16,25,25,,BBCDCCDADADBDAC,FFTTFFTFTT
2025031200177,GESP 2023年9月认证,长春理工大学（旧）,,吉林省,吉林市铁路第一实验小学,Python,一级,35,12,8,15,0,,CDCDBAACCCACCBC,FFFTTTTFFT
2025031200187,GESP 2023年9月认证,南京外国语学校（北京东路校区）,,江苏省,南京市芳草园小学,Python,一级,90,24,16,25,25,,CDBCBACBADBDABD,FTTTTTFTTF
2025031200201,GESP 2023年9月认证,台州职业技术学院,,浙江省,镇海中学台州分校,Python,四级,65.5,24,14,25,2.5,,BABCAABCBABCCBD,FFFTFTFTFT
2025031200203,GESP 2023年9月认证,长春理工大学（旧）,,吉林省,昌邑区第二实验小学,Python,一级,24,16,8,0,0,,CBBABACCBBBDACB,FTFTTTTTFT
2025031200215,GESP 2023年9月认证,台州职业技术学院,,浙江省,镇海中学台州分校,Python,四级,96,30,16,25,25,,BACCABBABABCCBD,FTTFFTFTFT
2025031200219,GESP 2023年9月认证,台州职业技术学院,,浙江省,镇海中学台州分校,Python,四级,50,0,0,25,25,,---------------,----------
2025031200231,GESP 2023年9月认证,台州职业技术学院,,浙江省,镇海中学台州分校,Python,四级,42,26,16,0,0,,BACCABBABABDCCD,FFFFFTFTFT
2025031200233,GESP 2023年9月认证,台州职业技术学院,,浙江省,镇海中学台州分校,Python,四级,30,0,0,25,5,,---------------,----------
