ID,考试名称,考点,认证服务中心,高校省份,所在单位,编程语言,等级,得分,题目_1,题目_2,题目_3,题目_4,题目_5,题目_6,题目_7,题目_8,题目_9,题目_10,题目_11,题目_12,题目_13,题目_14,题目_15,题目_16,题目_17,题目_18,题目_19,题目_20,题目_21,题目_22,题目_23,题目_24,题目_25,题目_26,题目_27
2025031200054,GESP 2023年9月认证,苏州大学本部校区,,江苏省,苏州市敬文实验小学,Scratch,二级,44,0,3,3,3,3,0,3,3,3,3,4,4,4,4,4,0,0,,,,,,,,,,
2025031200110,GESP 2023年9月认证,上海虹桥国际外籍人员子女学校,,上海市,长宁区绿苑小学,Scratch,二级,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025031200135,GESP 2023年9月认证,大连市第二十四中学金普学校,哈尔滨中科云海计算机技术服务有限公司,辽宁省,东北路小学,Scratch,二级,86,0,3,3,3,3,0,3,3,3,3,0,0,4,4,4,25,25,,,,,,,,,,
2025031200155,GESP 2023年9月认证,长春理工大学（旧）,,吉林省,吉林市昌邑区第十一小学校,Scratch,一级,72,3,3,0,0,3,3,3,3,3,3,4,0,4,4,4,25,7,,,,,,,,,,
2025031200163,GESP 2023年9月认证,北京工业大学,,北京市,红英小学六里屯校区,Scratch,三级,26,0,2,0,0,2,0,2,2,2,0,2,2,0,0,0,2,2,2,0,2,2,0,2,0,0,0,0
2025031200167,GESP 2023年9月认证,长春理工大学（旧）,,吉林省,吉林市松江东路小学,Scratch,一级,45,3,0,0,0,3,0,0,3,0,0,4,0,4,4,4,15,5,,,,,,,,,,
2025031200169,GESP 2023年9月认证,长春理工大学（旧）,,吉林省,吉林市通潭实验学校,Scratch,一级,46,3,0,0,0,0,3,0,0,0,3,4,4,0,4,0,13,12,,,,,,,,,,
2025031200182,GESP 2023年9月认证,徐州工程学院,,山东省,龙泉小学,Scratch,二级,58,0,0,3,0,0,0,0,3,3,3,4,4,0,4,4,25,5,,,,,,,,,,
2025031200209,GESP 2023年9月认证,西北农林科技大学（杨凌示范区西农考点）,,陕西省,杨凌区邰城实验学校,Scratch,二级,74,3,3,3,0,0,3,3,3,3,3,4,4,4,4,4,25,5,,,,,,,,,,
2025031200220,GESP 2023年9月认证,广州市绿翠现代实验学校（怡乐路校区）,广东实践创新教育研究院,广东省,文德路小学,Scratch,一级,79,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,15,14,,,,,,,,,,
2025031200268,GESP 2023年9月认证,嘉兴市文贤学校（东校区）,,浙江省,上海外国语大学秀洲外国语学校,Scratch,二级,40,3,3,0,3,3,0,3,3,3,3,0,4,4,4,4,0,0,,,,,,,,,,
2025031200320,GESP 2023年9月认证,北京市昌平区第二中学（政府街校区）,北京编码未来教育科技有限公司,北京市,三帆中学附属小学,Scratch,三级,36,2,0,2,2,2,0,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0
2025031200355,GESP 2023年9月认证,长春理工大学（旧）,,吉林省,昌邑区第七小学,Scratch,一级,62,3,0,0,3,3,3,3,3,0,0,0,0,4,0,4,18,18,,,,,,,,,,
2025031200425,GESP 2023年9月认证,镇江大港中学,,江苏省,镇江市实验小学,Scratch,二级,63,3,0,3,3,3,0,3,3,3,0,0,4,0,4,4,25,5,,,,,,,,,,
2025031200441,GESP 2023年9月认证,南京邮电大学,,江苏省,盱眙县宣化实验小学,Scratch,一级,92,3,3,3,3,3,3,3,3,3,3,0,4,4,0,4,25,25,,,,,,,,,,
2025031200445,GESP 2023年9月认证,南京邮电大学,,江苏省,盱眙县第一小学,Scratch,一级,62,3,3,0,3,3,0,0,3,0,0,4,4,4,0,0,23,12,,,,,,,,,,
2025031200462,GESP 2023年9月认证,海安市海陵中学（本部）,海安市智创未来机器人编程科技培训有限公司,江苏省,城南实验小学,Scratch,三级,26,0,2,0,2,0,0,0,2,0,0,2,2,0,0,2,2,2,2,0,0,2,2,2,2,0,0,0
2025031200464,GESP 2023年9月认证,北京工业大学,,北京市,石景山区爱乐实验小学,Scratch,一级,87,3,3,3,3,3,3,0,3,3,3,4,4,4,4,4,23,17,,,,,,,,,,
2025031200488,GESP 2023年9月认证,温州大学,,浙江省,蒲鞋市小学,Scratch,一级,25,3,3,3,0,0,3,0,0,0,3,4,0,0,0,4,0,2,,,,,,,,,,
2025031200502,GESP 2023年9月认证,苏州科技城外国语学校,,江苏省,苏州科技城外国语学校,Scratch,一级,84,3,3,3,3,3,3,3,0,3,0,0,4,4,4,0,23,25,,,,,,,,,,
